Tell Me About The Most Interesting Place You’ve Ever Traveled To?,personal
How Do You Know When You’re In Love?,personal
Have You Ever Had An Unrequited Love?,personal
Have You Ever Boycotted Or Protested Anything?,personal
What Are You Most Passionate About?,starters
What Is Your Favorite Non-Physical Attribute About Yourself?,starters
What Social Customs Do You Wish Would Just Disappear?,starters
What Do You Do When No One Is Looking?,starters
Do You Think That We Create The Reality We Live In?,philosphy
 What are you passionate about right now?,personal
 What do you look for in a guy?,personal
 What makes you happy?,personal
 Who are you closest to in your family and why?,personal
 If you could go back five years what would you change about your future?,personal
 What’s your favorite time of year and why?,personal
 What was the best thing about where you grew up?,personal
 What would you do tomorrow if it were your last day on Earth?,personal
 What do you like most about yourself?,personal
 What’s your biggest dealbreaker in a relationship?,personal
 What’s your favorite movie of all time?,personal
 What’s been your proudest moment?,personal
 If you could do anything for a job tomorrow (with no obstacles in your way) what would you do?,personal
 Do you have any secret talents?,personal
 Is there something that you used to do that you loved but you’ve now stopped doing?,personal
 What were you like as a kid?,personal
 What’s the most valuable thing in your life?,personal
 What’s your idea of a perfect date?,personal
 How do you think your closest friends would describe you?,personal
 Do you want to get coffee sometime?,Askout
 Do you want to grab a drink?,Askout
 Do you want to grab lunch (or dinner?) Is there a place that you have been wanting to check out?,Askout
 Are you free on [specify a day]?,Askout
 Do you want to come to my place?,Askout
 Can I show you around my favorite neighborhood?,Askout
 What is the best present that you have ever gotten?,convo
 What is the best present that you ever gave?,convo
 Do you have any nicknames?,convo
 Do you have any siblings?,convo
 How tall are you?,convo
 How long have you lived around here?,convo
 If you moved here where did you move from?,convo
 Do you like it here?,convo
 What is your ideal town or city like?,convo
 Would you ever get a tattoo? What of?,convo
 Would you ever get a piercing? Where?,convo
 What was your first ever job?,convo
 What was your first job out of school?,convo
 Where is the last place that you traveled to?,convo
 Do you believe in aliens?,convo
 Do you like to cook?,convo
 What is your favorite sport?,convo
 Have you used other dating sites or dating apps?,convo
 Are you a night owl or an early bird?,convo
 Backstreet Boys or NSYNC?,convo
 Plane ride or road trip?,convo
